,comment,title,rating
280,"During the week it's busy but you can always use the cycle lane (drivers are not so respectful so be careful). During the weekend, specially on Sundays, it's perfect to walk, cycle, etc. You can enjoy several spots.",Nice walk during the weekend,40
281,We walked the Paseo de la Reforma on a Sunday morning when it was closed to motorized traffic.  It was great to see so many people of all ages taking advantage of the beautiful weather.  Lots of shopping and dining available along the avenue and...,"Beautiful, busy avenue",50
282,This is an impressive boulevard with some interesting monuments but is just way too busy with traffic on a weekday. Probably best to visit on a Sunday when I believe it is closed to traffic.,Busy,30
283,"Great shopping and dining possibilities and a well organised part of the city, walking distance to the park and the zoo as well, safe even at night",Beautiful place to wonder around,50
284,"This is first of all business street. In any case it is different from other locations in the city as it  is modern, green and clean. You can walk from Angel to historical centre, it is around 30 - 40 min and you see all...","Nice, wide budiness boulevard ",50
285,"Reforma Avenue is a must to see and enjoy the central part of the CDMX and visit museums, parks, cafes and restaurants. It is also very safe and has wide sidewalks for walking",The most beautiful avenue in Mexico City ,50
286,We took an evening walk from our hotel in search of this monument.  We viewed it from a mile away and found it even more impressive up close.  It is worth the short visit.,A beautiful city monument,40
287,"You must go there and take pictures; even if you go alone take a selfie. It is a safe area, the Sheraton Maria Isabel is walking distance.",Mexico's icon,40
288,very nice street in mexico city where you can walk late night. or ride a bycicle on sundays. very good hotels there.,I love it,50
289,"My wife and I stayed just a block away from Paseo de la Reforma.  We took a nice stroll down the paseo a few times while we were there.  The center of the paseo offers trees that make for nice shade in the afternoon, and...",Take a Stroll and Enjoy!!!,50
290,"We walked and rode down this street many times on our trip to Mexico City.  It seemed like a pretty safe area, every time we were there and the monuments were pretty nice to see and take pictures of.",Nice walk several monuments to see!,40
291,Paseo de la Reforma is a lovely wide boulevard to walk down from the Centro Historico all the way to Chapultepec Park. The best part is the side street that runs parallel to the boulevard so you are well away from the high speed drivers....,Wonderful Boulevard,50
292,"We walked the length of Paseo de la Reforma. Having done it once we likely wouldn't do it again. There are a couple of must-see sights along the way but you could more efficiently see them by joining one of the hop-on, hop-off busses.",Busy commercial street dotted with monuments,30
293,I walked this street at all times of the day and night and would feel safe even if I had my daughter. Plenty to see and do. Don't have an open container as you will be huddled by the policia.,Surprisingly safe,50
294,"There's a lot to see on Paseo de la Reforma. Most notably the Moment of the Angel; a giant tower topped with a golden angel, a symbol of Mexico City. You can surely see this in a drive by on the Turibus, but it's best...",Reforma is best seen on Sunday on foot or bike,40
295,"Nice hotel, a bit dated, but had some charm, very nice staff, restaurants in hotel ok not great, the Angel de la Reforma statue is beatuiful and lit nicely at night, area safe and ok but not much to do in immediate vicinity (within 3-4...",Stayed at Sheraton Maria Isabela,40
296,"This Magnificent National Monument is a must visit for all aspects , Historical, Patriotism, Architecture & Landmark of Nation's Independence !",Landmark of Mexico City,50
297,This is what you see in every Mexican Telenovela so its a must see.  The area around the monuments are very well kept and are relatively safe.  Its pretty amazing how lovely its being maintained and the amount of industry that is surrounding this area.,Classic Mexican History,50
298,"This angel of independence is one of the most beautiful monuments in the world. 
Even at night they put beautiful lights around magnifico!!",The most beautiful,50
299,"A beautiful moment in the middle of Mexico City avenue.  
Beautiful, Peaceful and meaningful. 
A not to miss while in Mexico City.",Breathtaking Beauty and Meaningful,50
300,"This boulevard is wide, clean, beautiful, peaceful, family friendly. You can see families and couples going for their afternoon and evening walks along this paseo. It is also within walking distance to some of Mexico City's great sites and offers many food and shopping options,...",Beautiful boulevard for walking and site seeing,40
301,The Christmas decorations and lights made the entire length of Reforma seem like a fairly land.  Beautifully done and really a great time to be there.,Fun stroll especially at night,40
302,"Paseo de la Reforma is the modern heart of Mexico City. It's a very upscale area with many restaurants, attractions, landmarks, shopping, and people from all over the world. When visiting Mexico City, venturing or staying in this area is a great way to experience...",A Mexico City Essential,50
303,Just s nice avenue in the heart of Mexico City with the beautiful gold angel in the middle and some shops but not so many,An avenue like champs Elysee in Mexico ,50
304,"Mexico City's main thoroughfare is still a gorgeous boulevard despite modernization and constant construction.  One can imagine what it was like to stroll down or drive down in one's horse drawn carriage in days past.  The monuments, fountains, green spaces, etc. make this one of...","Despite Metrobus construction, a beautiful boulevard.",50
305,nice place you can find departure buses for a tour of the city there and a lot of tourist police officers for the security and they are very helpful and friendly,nice place to be,50
306,"This long stretch of road through the centre of town features numerous massive statues and fountains at various intersections, walkways along each side and sometimes between traffic lanes, old concrete park benches, artistic park benches, more statues and monuments, and even a protest camp.",Monuments and fountains everywhere!,40
307,"Not a bad street to attend some time on, even if it is just a relaxing walk. Much of it is blocked to vehicle traffic on Sunday and the street is filled with bikers, runners and walkers.",Nice street with lots to do,40
308,Great to see. We walked from Zocalo which took about 40 minutes. (Although we did stop at the fortuna shop on the way). We enjoyed the walk and using our map we walked back through Zona rosa which was lovely. The statue is impressive but...,Impressive,40
309,"Our hotel was located in this avenue, this street is beautiful and full of places that are worth visiting, perfect to have a walk at night or early in the morning, if you like skating or biking this street is also perfect.",Easter vacations,50
310,A stroll down Reforma gives you a piece os Mexico City from various eras. At the Chapultepec end you can see the Chapultepec Castlle up above gong back 200 years. As you walk to the north east you wll pass the now rather dated US...,A bit of old Mexico City,50
311,We walked here one afternoon from our hotel. It is a beautiful area for pictures. There were several groups making photos.,Beautiful,50
312,Stayed at a hotel in Paseo de la Reforma. Great location and close to many other attractions like the Zocalo and Castillo de Chapultepec. The Palacio de Bellas Artes is also close by.,Beautiful to take a bike ride or walk along,40
313,"Reforma is the main avenue in Mexico City. It is full of interesting places, restaurants, business and sight. In the area between Auditorio Nacional and Madero Avenue is really safe to walk.",Beautiful walk,50
314,"This street has everything and by this I mean it has monuments, restaurants, stores, house even a zoo, there is absolutely everything here, so big you would get tired of walking it, but you can always go by car but you might be stuck in...",You can admire it during traffic,30
315,"when visiting CDMX it is a must to take a walk along Paseo de la Reforma. there are plently of coffeshops, restaurants, stores and a big angel watching you: Angel de la Independencia (Independence's Angel) wich is an emblematic symbol in Mexican History.",Beautiful Place,50
316,This is Mexico City at its most charming. On a Friday afternoon the sidewalks are bustling with foot traffic. The walkways are bordered by gardens and shaded by trees. You can shop your way along the Paseo or just enjoy the view. If you're feeling...,The ultimate afternoon stroll,50
317,"This is one or the most important avenue in the Mexico City. Great architecture, shopping and eating venues all along most of the embassies. At night the illumination highlights the constructions. It is a very safe zone even at late hours and you can rent...",Great for a walk specially at night,50
318,"An exciting and beautiful avenue to either drive or walk thru.  Plenty of large hotels, plazas, restaurants and plenty of traffic.  Most of the day it has very heavy traffic.",A most exciting avenue,50
319,"This avenue is one of my favorite from the whole city, being both a turistas area and financial center you can find tons of things to do nearby. There's usually temporary exhibitions with beautiful sculptures where you can take tons of pictures and it is...",Great for sightseeing,50
320,"This is a beautiful wide avenue, modeled after European examples, lined with trees, stone benches, and beautiful modern landscaping. Along the way, you'll find the Angel of Independence, and if you walk along it, you can reach Chapultepec Park which is beautiful!",Beautiful avenue,50
321,"This is a great avenue to stroll yourself....you will find great trees, restaurants, shops, mall, monuments....you name it.  Paseo Reforma is a symbol of the City....make sure you go and walk around it.",Beautiful Avenue,50
322,"Great place to walk on Sunday mornings! The street closes so people can bike, roller blade, jog etc so it is quiet and traffic free. Nice to stroll and people watch.",lovely walk on a Sunday morning,50
323,"Great place to walk up and down the street.  If you like biking or jogging, then this is were everyone is at on early Sunday Morning. You can get a good workout from starting out by the Zoocala and going over to Chaputapec Castle. Lots...",Spring Break Trip,40
324,"We walked all along the avenue and really enjoyed the buildings, art installations, monuments and the feeling of an impressive street.",Grand Avenue,50
325,"we love to walk but in any new city we visit we start with hop-on-hop-off bus, its a cheap way to see points of interest and then decide which tour you wish to book. This gives you plenty of time to get off the bus,...",an easy day,50
326,Our hotel was just two blocks from here and we took a stroll through this avenue at night. It was amazing! There were some spots were we had it for ourselves and felt secure.,Nice place for a night stroll,50
327,Visiting Reforma is a must while visiting Mexico City. Its the access to many places in the city and also hosts many points of interest such as Castillo de Chapultepec (which is also a must) and Museo de Antropología. Reforma is not only beautiful during...,Must in Mexico City,50
328,Bring your camera and don't forget to bring your walking shoes.  It's the only way to enjoy this location.,Have Your Camera Ready,50
329,"As an adventurous youngster in the 60's in Mexico City I first walked from the Zocalo to Chapultapec Park, mostly along the boulevard named ""Paseo de La Reforma"".  A great deal of the modern history, modernization, commerce, tourism and entertainment of Mexico City and all...",The Heart of Mexico -  Paseo de La Reforma,50
330,"It is a beautiful street in which you get the chance to see different landmarks and live the City. Every sunday morning they close Reforma so cars won´t drive through, it is a chance for people to ride their bikes or roller skate along the...",THE street,50
331,"Lots of gorgeous statues within the glorietas up the Paseo de la Reforma, from the iconic Angel de Independencia to the Diana Calzadora near the entrance to the Bosque de Chapultepec. If you rent (or borrow) a bike on Sunday morning, the Paseo is a...",Bicycle Sundays!,40
332,"This is the ""Champs Elysees"" of Mexico City, and by Kaiser Maximilian.  It connects the castle with the Zocalo, the central square. The Reforma is sometimes closed on Sundays in order to make room for bike riders, skaters and joggers. Nice.",My favorite street in Mexico City,50
333,"Salvatore Dali inspired art sculptures. Unique art features from multiple bell types to ""giant ant"" figures showing what ants do everyday. Along with the numerous round-about fountains or memorials - very relaxing walk.",Unexpected art and relaxing walk in middle of the city ,50
334,"This street has a lot of restaurants, bars, stores and historic attractions. On weekends, there are many outdoor events and it's a very popular spot for tourists and locals alike.",Great walk for a very traditional street,50
335,I was going to run inside Chapultepec park and the hotel staff told me that on Sundays they closed La Reforma until 2pm. Actually it was an amazing experience to run with literally thousands of runners. They were also bikers and people in skates. You...,Great place to run on Sundays,40
336,"Our hotel was right on the the corner in Paseo de la Reforma and had a nice view of the Angel of Liberty.  Our surprise was Sunday morning when the streets were closed to traffic and literally thousands of people were out on bicycles, rollerblades...",Great Location,50
337,"I don't recommend walking down this avenue due to high traffic and not so many attractions. What i would recommend is to get into a tour bus, which goes throughout all the city and hop in and out what you consider interesting for you","You can walk, if you dare",30
338,"The Angel of Liberty monument is a must for every visitor. It is such an iconic symbol of Mexican Independence, that it is incorporated on the Mexican coin: the Libertad.",This needs to be part of your tour,50
339,"From the iconic symbol of Mexico - the Angel of Independence golden monument, to monuments honoring legendary figures like the last Aztec emperor Cuauhtemoc and explorer Christopher Columbus, to some of the tallest buildings in this capitol city that is home to 20 million people,...",Go with a guide and enjoy Mexico's iconic street!,50
340,"Paseo de la Reforma is the most iconic avenue in Mexico City, and even just walking around through it is a really great experience","A must in the cty, one of most beautiful business districts in thw world",50
341,"I wanted to do the hop on and off tour bus, but it didn't work out with our schedule.  However, we did drive to downtown and on the way back at night, we passed by the Angel de la Independencia.  It is beautiful! with the...",Paseo de la Reforma at night,50
342,"On Sunday, one half of the Paseo is closed off to traffic and becomes a pedestrian plaza with vendors of every sort lining the streets. Make sure to wander all the way to the Museum of Anthropology to see the Dali sculptures from the Carlos...",GORGEOUS!,50
343,This place was amazing to visit and we were lucky enough to visit at a time when a protest was taking place. Seems fitting to be here during some political unrest. The monument is much taller then I expected.,Amazing Monument,50
344,"It's worth a walk down this wide avenue which will take you from Alameda Central to Chapultepec park. There are several monuments and at the bottom end, a few glitzy new skyscrapers. Best to go on a Sunday when it's closed to traffic.",Grand boulevard - MC style,40
345,"Major avenue through the city. Nice , busy with cars and perhaps a lot of pollution to breather in if walking. Grand and love cutting through park. Highly like you will be on it if in DF and moving through the city.",Lovely boulevard for strolling,40
346,"If Mexico is the ""2nd world"" it's contradictions are clear on Reforma. There elegant fountains and wide avenue evoke Paris (and the French rule of Mexico) with wide sidewalks for strolling. But the buildings are fast becoming the skyscrapers of the modern world stretching up...",Modern Mexico,50
347,We stayed at the Sheraton on Paseo Reforma and walked this street everyday... Witnessed the most impressive Womens March..,great walk!!,50
348,the statue in the middle of the road might be dangerous to try to get to but it is well worth it. The history is fascinating.,In the midst of the bustle,50
349,"Drive around or walk and enjoy some feeling of relax , although is placed in such a busy city , flowers and statues decorate it and while visiting Mexico it is a must",Beautiful!,40
350,"The former elegance of this grand boulevard, laid out in the brief, tragic reign of Emperor Maximilian on the model of the Champs Elysées, can be guessed from the few remaining mansions of Porfirio Diaz's long dictatorship.  No preservation laws protected them so they have...",A monument to what might have been,20
351,"Its nice. I dont know much about the history, but take your picture and go.  Its not somewhere I'd go too far out of my way to see but my hotel was just a few blocks away.",Nice selfie spot,40
352,Not sure why this is highly rated on TA.  It deserves only a driveby.  The avenue is wide and pretty but there is not much else to see or do.,Just a drive by,10
353,"The best times to visit are at night or on a Saturday. First to get the photographic effect of the cars, and on Saturday, to see the brides, in their amazing dresses. 
Why the death reference, crossing the road to get to the site in...",Dice with death,40
354,The long sweep of Reforma with its many significant and gorgeous monuments is a must-see for any visitor. Grab an Uber cab and move along with traffic past the US Embassy so defended you'd think we'd treated them badly and they might be angry.  But...,The most beautiful street in the nation,50
355,Our tour guide took us on a tour around the city and included this as one of the stops.  Its a great representation of history.  Stop for a quick photo.,Cool to drive by,40
356,I stayed near this place and kept walking by it. There are always lots of cute tourist taking pictures around there. Lots of places to go hang out around there. (walking distance),Nice hang out place,40
357,"This is main road in Mexico City with all 5 star hotels like st Regis , marquis and four Seasons. Very nice walk 2 kms plus Long. Must do.",Worth walking on it,50
358,"its a grate place to walk, take your bicycle o car, anyways you're going to see one of the most representatives landscape of mexico. Is also a place to celebrate in mexico.",grate landscape,40
359,Beautiful and full of history. Wonderful trees and very scenic. Loved walking through it all a couple of times. You feel like you have been transported to another place and another town.,Treasure!,50
360,"Crossing part of Mexico City with beautiful monuments in every rotunda, you can't miss driving Paseo de la Reforma or a stroll through it. Don't miss out cycling or walking it. Every sunday they close the street so only pedestrians and cyclists can enjoy it.",One of the world's most beautiful streets,50
361,"This is located on the Avenue of the Americas - a beautiful city street with may attractions and restaurants - shady trees, sitting benches, lovely angel statue is spectacular!",Great walking visit!,40
362,"While there are beautiful monuments along this street such as the angel de la independencia, we had a hard time finding a nice place to have a seat and have something to drink and enjoy the view. Most of the avenue is filled with large...",Needs more restaurants,30
363,"Great street food around this area.

Great sights... lots of walking, but amazing...

But... if you are driving... be  ready to pay lots of fake fines for bad driving you didn't do... I met lots of Americans with cars that had big issues with that......",Just handing around here at night!!!!,50
364,"We came here for an afternoon of shopping and walking.  The streets are so crowded with people we ended up not shopping but just walking and enjoying the warm weather and the colourful people.  Lots of buskers all over the street, some entertaining and others...","Busy, busy, busy",40
365,"Wonderful tourist site in the heart of Mexico City.  It is a must see tourist destination with hundreds of tourists throughout the world.  The say all roads lead to ""The Angel"" and considering the immense amount of traffic I'd have to agree.  The best thing...","""The Angel""",50
366,"Its wonderful to walk or visit by car, wonderful architecture, sculptures, El angel de la Independencia is a landmark in the city and the Diana Cazadora fountain, each block is full of interesting things to look at.",the most beautiful avenue in the world,50
367,"A nice walk through the park and down the major artery of the city. Safe and shockingly clean (coming from New York City, we were always confused about why there was no litter in Mexico City!), this part of the city is cosmopolitan and lined...",A nice walk,50
368,We loved walking and looking at all the people and architecture. This area is wonderful people are so friendly and pleasant.,Vacation ,50
369,Very nice place to take pictures of the Angel. From across the street to right in front of the Angel you can take great pictures. There are restaurants around if your hungry and as well as hotels with bars.,Angel,50
370,"This a one of the main avenues for the city , you will enjoy a nice walk and maybe have a meal on the restaurants nearby during the night there a lot of night life and clubs  that you and your couple may enjoy",A lots of attactions,50
371,"Every time a have to be in Mexico City, I find my way, between meetings, to walk The Reforma Avenue for as much as possible, like today for some 80 minutes. The very nice temperature of the city and the beauty of the avenue makes...",I love walking Reforma,50
372,Reforma is considered one of Mexico's most beautiful avenue. The angel of independence is a must see. Nice towers on both side of the avenue. Waking distance to the Zona Rosa where you can find lots of restaurants. On Sunday the avenue is closed and...,Beautiful avenue ,50
373,That is an area worth going. On Sundays they close parts of the road for sports activities and it's beautiful.,Cute,50
374,"it is the nicest area in  mexico City 
also is very safe 
many people   go to the angel to have pictures 
you can see  many people  walking ata ny time is this area
there are restaurants and bars , mainly inside the hotel 
sometimes it...",looks like madrid,50
375,Sunday morning: my teenage son and I are itching to enjoy la Ciudad in a different way. We go to a 4th Generation EcoBici bike station and figure out how to rent one for the day (90 pesos). Start biking and have an amazing experience...,Ride an EcoBici on Sundays,50
376,Saw it driving past on the way to museo soumaya.  I will definitely return to Mexico City and make time to see the monuments.  Well maintained and extravagant.,Beautiful,40
377,Trying to build a street as pretty as Champs Elysees in Paris Porfirio Diaz had this street build many years ago and it is still as nice as it meant.  Many buildings and monuments are located here.  Some of the principal business and shopping areas...,greatest street in CDMX,50
378,"I call this the trail of monuments and impressive architecture.  Its many monuments are impressive in their ambition, beauty and artistry.  I guess it helps that Mexico has had so many historic events!  I also found the architecture of the many of the modern skyscrapers...",Very impressive,50
379,"This is a must!! you want to see the frenetic life in mexico City at top business hours. You can find fine restuarants, and on the go quick cheap food. This place not only has history behind its constructions, it holds place for lots of...",Top Place to be in Mexico City,50
380,We stayed close to the Zoo and walked the Paseo for several miles towards the cultural areas. Very easy walk.,Excellent walk to see the sites of Mexico City,50
381,"If you visit Mexico City you need to know the monument of Angel and the Paseo reforma Street. It is one of the main place in the city, around is located also many hotel from 1 start up to 5 start. just because in all...",Angel Monument,50
382,"Excellent walk. We walked around for two hours. It is a safe area with some monuments, restaurants, shops and banks.",Good for walking ,50
383,My favorite is to ride bike or walk on Sunday morning 7am to 2pm street is closed.  There's music. All kinds of fun.,GREat for walking.  Must go on sundays.,50
384,"Reforma is one of the longest and most beautiful avenues in Mexico City, The part near downtown is the one with more French-style architecture and views to the Chapultepec Castle and Park. You can visit the Angel de la Independencia, Museo de Antropologia, the Park,...",The most beautiful street in Mexico City.,50
385,This road is tree lined and has many beautiful monuments and fountains along the route. It is an interesting road to walk along and take photos.,Lovely road to walk along ,50
386,"Get the full enjoyment of this historic street. The double deck bus tour is the first step in a great experience. It is a stop and go, off and on trip. Want to see something special, step off and catch the next double deck bus...","Take the bus, leave the driving to them",40
387,I love this area. Stayed at the Hilton and walked all around here. You will not regret it. Mexico is so awesome! Reforma is possibly the best in MC.,Beautiful,50
388,must see it during the day and at night. be careful crossing the street especially during rush hour in the morning or night.,so pretty,50
389,"Like the Monument of Revolucion, we found this attraction to be impressive and worth stopping for absorbing the view.",One for the checklist!,40
390,"I transit every weekend through Paseo de la Reforma. It is one of Mexico City's Main avenues, and it always offer a fresh and different perspective. Reforma is for locals, for tourists, for businessmen and families. Reforma hosts the best hotels and restaurants, shopping centers...",Cultural and Financial Artery in Mexico City,40
391,The avenue sidewalks are normally pretty busy with people who works in the city. You can check and use the rent a bike services if you are feeling adventurous. I like to walk the sidewalk in the evening when there is less foot traffic. Is...,Great place to walk in the afternoon,50
392,Sundays they close Reforma to motor traffic and it turns into a mass of pedestrians walking and biking.  Cool experience walking down one of the more significant streets in Mexico City.,Open to foot & bike traffic on Sunday,40
393,Lit up at night. Very pretty monuments. Lots of people and activity. I spent a few nights there. Lots of good street food vendors on side streets.,Best at night. ,50
394,You have to park around or across the street from it it is in the middle of a runabout you have to stop by and take pictures it's a very popular location for weddings and anything like that to stop by and take pictures and...,Important location,50
395,The tower pictured here can be viewed while traveling through the street of Paseo del la Reforma. It has an incredible view and is worth visiting.,Four Seasons Hotel is located on Reforma,50
396,"Just about every round about has a monument of some sort, but the Angel is beautiful!  Protestors are seen on the steps.  Sometimes small groups.  Others very large.",Stop and take a picture,50
397,"The Paseo de la Reforma is a lovely wide street with lots of trees, public art, a fountain and the Angel Monument. Lots of people gather here to enjoy the vibe.",Gathering Point,40
398,"Paseo de la Reforma was built in the XIXth  century to connect the Chapultepec Castle to  the main square downtown. It served as a magnificent walk, filled with broad sidewalks and seasonal flowers. Over the past years, cement has invaded some of the areas,  but...",A stroll along the main street,30
399,"hotels, shops, statutes, sculpture.  Sundays good for bikes, rollerskating, walking with strollers...","Sundays, no cars",50
400,"This avenue is one of the most important roads in Mexico City. It features several landmarks along its way to end up in Chapultepec. As a matter of fact, if someone visits Chapultepec Castle, one will get a beautiful sight of the avenue from the...",Beautiful Avenue,40
401,Tree lined street close to the Anthropology museum and Chaputapec Park.  Really pretty to take a leisurely walk during the day or in the early evening. They had fabulous fireworks and a wonderful concert for new years eve.  Lots of families and NO debauchery.,Pretty area to walk,40
402,"We felt very comfortable walking at Paseo de la Reforma.  It's a very touristic place with restaurants, cafes, hotels and all kind of businesses.  We can take pictures from any angle in the area since the whole place is so picturesquely.  We can walk around...",Nice boulevard ,50
403,"Just great to enjoy a nice walk with your couple. Is full of sculptures, gardens, stores, families, couples, what else !",This is the real Mexico City ! ,50
404,This is a very safe place to have a stroll in the heart of Mexic City.: there is a lot of very visible police and security along the length of this road (3 to 4 km).,Stroll along the Paseo de la Reforma,50
405,"If we were  in NYC we  would walk to the park or museums along Central Park. This gives you an opportunity to enjoy Mexico City from Street  level as opposed to a car, taxi, or bus.  You pass everyday life as you would if you...",Feel like a Native,40
406,"This is what I call Mexico City heart, you have everything around here for all kind of backgrounds, I lived in this city for over 3 years and Paseo de la Reforma from Bosque de Chapultepec all the way to Insurgentes Ave is a perfect...",Relaxing area,50
407,"Nice long boulevard to enjoy on your way to Chapultepec Park and the Museum of Anthropology.  

On Sunday we saw one part was designated for bikes, roller skating, dog walking, etc... it's a great way to encourage outdoor activity. 

It has nice  plantings and well...",Enjoy a walk on way to Museum or Park ,40
408,"A place to walk any hour for sights of beautiful statues, sculptures, protests, jogging and cycling on sundays and lunch in the neighborhoods near by","A endless boulevard of statues, trees people and activity",40
409,"Beautiful walkway, good view of city and great to climb the tower to get an even better view.  Really nice area of Mexico City",Must do!,50
410,This a beautiful wide boulevard that connects Polanco with the historical centre of Mexico. It is surrounded by many museums and attractions,Beautiful Boulevard,40
411,"Have had the pleasure of going down this road many times, you must at least take a tour bus down this beautiful and expansive road. Fancy yet simple. This is a must when visiting Mexico City. So much to do and see. Some very important...","Beautiful whether you stroll, walk, bike or take tour bus!",50
412,"This place is awesome to take a long walk while you talk with your friends, partner, family, relative or anyone else. 

The weather is almost everyday perfect so you can walk from your hotel go to El Angel took nice pictures and then go to...",Awesome to take a walk at night. ,50
413,"A wide boulevard once the preserve of emperors and nobility, now enjoyed by all. There's a lot of traffic, there's also a lot to see. It's a good trunk road to navigate by extending from the park to down town either on foot (long) by...","Busy, busy",40
414,"Great way to get a wonderful walk, especially on Sundays, when the street is closed to vehicular traffic for a good part of the day.",Wonderful area to just walk around. ,50
415,"amazing party to celebrate the new year 2017 with ""Los Jonis & Angeles Azules"" very organize and secure popular celebration, a lot police, emergency services, food, and big screens all over the La Reforma Ave.

Excellent area to walk and relax during day and night....",New Year Party 2017,50
416,I went here for New Year's Eve and there was nothing better than the experience seeing fireworks alongside this historical monument.,A nice sight,50
417,"Nice part of the town - I felt safe there even during the night. Lots of restaurant, shops, big avenue with a great monument...",nice part,40
418,This place was packed with people and had what seemed like enough law enforcement for the people. There were about 4-5 lanes wide of people for about a mile. Down the sides and middle there was probavly a police officer every 10 feet for the...,Awesome New Years Celebration,50
419,"We had a nice walk here.  Large boulevard, interesting to view the city life et al once. One end goes near  Chapultepec Park.",Paseo,50
420,"We stayed in Zona Rosa just a few blocks away from el Angel de la Independencia. There are great restaurants, banks and shops along this avenue. It is also very safe as there are police officers on every corner.",Fancy part of town,50
421,I have always heard Paseo de la Reforma in the Novelas and it was such a pleasure to finally go experience it myself. We felt safe at all times and the are many restaurants and markets close by. We made it to the ANgel de...,Perfect,50
422,"It's a lovely street with lots of monuments, etc. Perhaps not the best place to find restaurants. But worth the walk, especially at night.",Nice to do at night!,40
423,"Mexicans should be proud of this wonderful Avenue. This is one the top avenues in the whole world and I think the City Government is doing a good job in making/taking the most of it 
The great relationship me and my family have with Reforma...",Getting even better ! By bicycle!,50
424,You can walk it or just take a taxi to the park up this avenue. You will see the angel of independence.,2 miles long,40
425,Its a nice street is surrounded of interesting places very good restaurants important buildings and good stores I recomend this place is very safe and also you can take trips here in front of the angel of independence there are some turibus (like bus trips)...,I love paseo la reforma,50
426,"Built in order to connect central Mexico City to the  Castillo de Chapultepec in the 1850s, this avenue is considered the main artery  of the city's heart.  You can admire not only the beautiful trees but also walk it and stop at museums, restaurants ,...",El paseo del Emperador,50
427,It's a must in México city! A good opportunity to take a look of the locals and their idiosyncrasy. There's a good chance to find multiple art expressions or even a peaceful protest,100% walkable,50
428,It was very difficult to reach as almost all roads leading to this place were blocked and it was huge traffic... The monument stands stunning in the center and has an amazing view..,Heavy traffic but worth the visit,40
429,One of the main transit arteries of Mexico City. Goes practically thru the whole city. Some highlights in the Chapultepec and central area. Intresting to watch.,Central Traffic Axis,50
430,It's a landmark & of historical significance to Mexico. The lighting at night makes it worth visiting.,Night view is preferable,40
431,"Nice with a mix of modern, historical, popular, elegant and populated area that requires time to visit and enjoy. Take public tran or Uber for an easier experience",Drive of the Reforma,40
432,"If you have not strolled Reforma in the evening and taken a picture of the Angel (day or night), your trip to Mexico incomplete.

Near the Angel you will find a great watering hole called: La Cantina no. 20...  I highly recommend you stop in...",A must...!,50
433,"""Paseo de la Reforma"" is a corridor that is in the list of ""you must do"" and is that it is part of the Mexico City; Is a walk through the financial and historical area of the City",You Must,40
434,"Residents of Mexico are calling this prospect briefly- ""Reform."" Visit Mexico city and not go through the Reform it is necessary to work hard. Reform is often compared to the Champs-elysées in Paris, including due to the direct effect on customer - dictator of Mexico...",Each square is its symbol.,50
435,The Paseo de la Reforma is a long street cutting through the city. The Angel of Independence is the beacon of the Mexico. No trip to Mexico City is complete until you grab a quick picture of this landmark.,CDMX icon,50
436,"Walking the Paseo de la Reforma is a perfect day or night activity. Clean, tranquil, plenty to see and do along the way. If I lived in CDMX I would be on the pedestrian median every single day for exercise. Actually one of my favorite...",Wow - Just wow,50
437,It's just a wide avenue with some sparse statues; not the nicest paseo I've seen in Mexico. Don't go out of your way to come here.,Nothing special,30
438,Worth a visit when the sun is going down or coming up it's gorgeous. A great part of the city's culture.,Stunning ,50
439,"Without a doubt is Campos Eliseos, in Paris
Beautiful, extensive and noisy
Elegant and historic. Lots of traffic, fashionable restaurants. Cinemas and commercial activity",Paris,50
440,"Great way to get to know more of Mexico and its people, the hotels, great architecture, places to eat and drink, parks.
Do it walking or taking the Hop On/Hop Off buses. Very nice visit.",Avenue in the heart of CDMX,50
441,"Paseo de la Reforma is the main avenue in Mexico City.  Our hotel was on Paseo de la Reforma so walked quite a bit up and down this avenue.  Beautiful, wide avenue with high end shops and restaurants.  A hotel on, or close to Paseo...",Downtown Mexico City,50
442,One of the most important avenues in Mexico City. Has a lot of commercial movement. Walked back and forth from my hotel and felt very secure even during the evening hours. Beautiful monuments such as El Angel and la Diana Cazadora.,Beautiful ,40
443,"Built by Maximilian to connect Chapultepec castle with his Residence downtown. On the 
honor of his wife Carlotta he let it named Paseo de la Emperatriz. After the restoration of the Republic 1867 it was named paseo de la Reforma.
Now Paseo de la Reforma...",Magnificent Avenue,40
444,"Major street, a bit of a pain to cross sometimes. Good place to see locals going about their business. Some impressive office buildings. Very similar to major European boulevards.","Major street, cool enough",30
445,It's not a bad place to people watch. The pillar itself is nothing to get excited about. Go during the day because the night lighting is a little neon tacky. If you're in the area it's certainly a nice place to set back and enjoy...,Roundabout Art,30
446,"Great to see, however Reforma Calle is very busy, and tricky to maneuver parking for pictures.  The sculptures (the boy and the lion) at the base of the sculpture are equally as beautiful.",Angel of Independance,40
447,"This is a lovely focal point in the city, we sat here and watched all the cyclists go round and the dancers on the stage at the day of the dead celebrations, we also learnt about its history and how it has been built up...",Lovely focal point,40
448,This is an excellent street to stroll--on the one end to the Museum of Anthropology on the other the the murals of Diego Rivera. Closed to Automobile traffice 7 am to 2 pm on Sundays,Nice strollable street,40
449,If you want to go upstairs you have to get prior permission.  They do let you walk around on the 1st floor.  Be careful crossing the street because there is no crosswalk.,A must see in Mexico City,40
